shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1:01,35.02825,-85.31025,18000027,
1:01,35.02838,-85.31018,18000026,
1:01,35.02851,-85.31010,18000025,
1:01,35.02864,-85.31004,18000024,
1:01,35.02878,-85.30994,18000023,
1:01,35.02893,-85.30988,18000022,
1:01,35.02907,-85.30979,18000021,
1:01,35.02922,-85.30972,18000020,
1:01,35.02936,-85.30964,18000019,
1:01,35.02951,-85.30956,18000018,
1:01,35.02964,-85.30948,18000017,
1:01,35.02977,-85.30940,18000016,
1:01,35.02990,-85.30934,18000015,
1:01,35.03003,-85.30928,18000014,
1:01,35.03027,-85.30918,18000012,
1:01,35.03048,-85.30913,18000010,
1:01,35.03065,-85.30910,18000008,
1:01,35.03081,-85.30909,17000047,
1:01,35.03084,-85.30907,17000043,
1:01,35.03098,-85.30904,17000040,
1:01,35.03113,-85.30901,17000038,
1:01,35.03129,-85.30898,17000036,
1:01,35.03146,-85.30893,17000034,
1:01,35.03165,-85.30886,17000031,
1:01,35.03179,-85.30883,16000022,
1:01,35.03179,-85.30883,16000020,
1:01,35.03193,-85.30881,16000016,
1:01,35.03208,-85.30877,16000014,
1:01,35.03225,-85.30875,16000012,
1:01,35.03243,-85.30871,16000010,
1:01,35.03258,-85.30867,16000008,
1:01,35.03276,-85.30864,15000186,
1:01,35.03286,-85.30864,15000180,
1:01,35.03301,-85.30859,15000178,
1:01,35.03317,-85.30856,15000176,
1:01,35.03337,-85.30854,15000174,
1:01,35.03359,-85.30848,15000172,
1:01,35.03381,-85.30844,15000170,
1:01,35.03404,-85.30839,15000168,
1:01,35.03423,-85.30836,15000166,
1:01,35.03439,-85.30832,15000164,
1:01,35.03465,-85.30826,14000056,
1:01,35.03475,-85.30821,14000050,
1:01,35.03491,-85.30812,14000047,
1:01,35.03505,-85.30804,14000045,
1:01,35.03524,-85.30792,14000043,
1:01,35.03543,-85.30782,14000041,
1:01,35.03563,-85.30770,14000039,
1:01,35.03583,-85.30759,14000037,
1:01,35.03602,-85.30750,14000035,
1:01,35.03619,-85.30743,14000033,
1:01,35.03634,-85.30740,14000031,
1:01,35.03639,-85.30740,13000047,
1:01,35.03646,-85.30740,13000039,
1:01,35.03661,-85.30740,13000017,
1:01,35.03676,-85.30740,13000014,
1:01,35.03694,-85.30740,13000011,
1:01,35.03704,-85.30743,12000037,
1:01,35.03716,-85.30743,12000029,
1:01,35.03733,-85.30743,12000026,
1:01,35.03753,-85.30745,12000023,
1:01,35.03767,-85.30745,12000021,
1:01,35.03786,-85.30750,12000018,
1:01,35.03806,-85.30750,12000015,
1:01,35.03825,-85.30753,12000012,
1:01,35.03841,-85.30754,12000009,
1:01,35.03858,-85.30756,11000090,
1:01,35.03863,-85.30758,11000084,
1:01,35.03880,-85.30758,11000081,
1:01,35.03896,-85.30759,11000079,
1:01,35.03914,-85.30759,11000077,
1:01,35.03931,-85.30759,11000075,
1:01,35.03945,-85.30761,11000073,
1:01,35.03963,-85.30767,11000070,
1:01,35.03978,-85.30775,11000066,
1:01,35.03990,-85.30778,11000021,
1:01,35.04007,-85.30788,11000018,
1:01,35.04022,-85.30796,11000016,
1:01,35.04038,-85.30804,11000014,
1:01,35.04053,-85.30813,11000012,
1:01,35.04071,-85.30823,11000009,
1:01,35.04099,-85.30832,10000031,
1:01,35.04102,-85.30832,10000027,
1:01,35.04118,-85.30840,10000024,
1:01,35.04133,-85.30848,10000022,
1:01,35.04151,-85.30859,10000020,
1:01,35.04170,-85.30871,10000018,
1:01,35.04187,-85.30880,10000016,
1:01,35.04205,-85.30890,10000014,
1:01,35.04219,-85.30898,10000012,
1:01,35.04235,-85.30907,9000039,
1:01,35.04243,-85.30910,9000034,
1:01,35.04261,-85.30915,9000031,
1:01,35.04279,-85.30923,9000028,
1:01,35.04295,-85.30931,9000017,
1:01,35.04313,-85.30936,9000014,
1:01,35.04331,-85.30940,9000011,
1:01,35.04347,-85.30943,8000051,
1:01,35.04356,-85.30943,8000046,
1:01,35.04374,-85.30940,8000043,
1:01,35.04387,-85.30940,8000041,
1:01,35.04405,-85.30943,8000038,
1:01,35.04407,-85.30940,7000029,
1:01,35.04416,-85.30940,7000024,
1:01,35.04429,-85.30940,7000022,
1:01,35.04448,-85.30940,7000020,
1:01,35.04468,-85.30943,7000018,
1:01,35.04487,-85.30943,7000016,
1:01,35.04503,-85.30943,7000014,
1:01,35.04522,-85.30945,7000011,
1:01,35.04538,-85.30945,6000082,
1:01,35.04549,-85.30945,6000076,
1:01,35.04568,-85.30945,6000073,
1:01,35.04582,-85.30945,6000071,
1:01,35.04597,-85.30948,5000060,
1:01,35.04598,-85.30948,5000056,
1:01,35.04613,-85.30948,5000052,
1:01,35.04627,-85.30947,5000050,
1:01,35.04646,-85.30945,5000048,
1:01,35.04665,-85.30948,5000046,
1:01,35.04684,-85.30948,5000044,
1:01,35.04703,-85.30953,5000042,
1:01,35.04720,-85.30953,5000040,
1:01,35.04737,-85.30953,5000037,
1:01,35.04753,-85.30955,5000029,
1:01,35.04766,-85.30955,5000016,
1:01,35.04780,-85.30955,5000013,
1:01,35.04797,-85.30955,5000010,
1:01,35.04812,-85.30955,4000046,
1:01,35.04822,-85.30955,4000037,
1:01,35.04837,-85.30955,4000034,
1:01,35.04853,-85.30955,4000031,
1:01,35.04869,-85.30956,4000017,
1:01,35.04883,-85.30955,3000040,
1:01,35.04886,-85.30955,3000033,
1:01,35.04900,-85.30958,3000029,
1:01,35.04918,-85.30960,3000026,
1:01,35.04933,-85.30960,3000024,
1:01,35.04947,-85.30963,3000022,
1:01,35.04962,-85.30963,3000020,
1:01,35.04978,-85.30963,3000018,
1:01,35.04996,-85.30963,3000016,
1:01,35.05013,-85.30963,3000014,
1:01,35.05029,-85.30963,3000012,
1:01,35.05047,-85.30964,3000009,
1:01,35.05066,-85.30969,2000034,
1:01,35.05069,-85.30970,2000030,
1:01,35.05085,-85.30970,2000027,
1:01,35.05101,-85.30970,2000025,
1:01,35.05121,-85.30972,2000023,
1:01,35.05141,-85.30972,2000021,
1:01,35.05163,-85.30972,2000019,
1:01,35.05183,-85.30974,2000017,
1:01,35.05200,-85.30974,2000015,
1:01,35.05218,-85.30975,2000013,
1:01,35.05234,-85.30975,2000011,
1:01,35.05255,-85.30975,2000008,
1:01,35.05266,-85.30972,1000000,
1:03,34.99132,-85.30497,59000022,
1:03,34.99132,-85.30497,59000025,
1:03,34.99145,-85.30494,59000018,
1:03,34.99153,-85.30511,59000015,
